,city,status,date,lat,lon
109,Красноармейск,rescued,1943-02-11,56.0722,38.0846
110,Красноармейск,occupied,1943-02-20,56.0722,38.0846
111,Красноармейск,rescued,1943-09-08,56.0722,38.0846
112,Кропоткин,occupied,1942-08-04,45.26,40.34
113,Кропоткин,rescued,1943-01-28,45.26,40.34
116,Лебедин,occupied,1941-10-10,50.583054119944,34.482346384831
117,Лебедин,rescued,1943-02-23,50.583054119944,34.482346384831
118,Лебедин,occupied,1943-03-10,50.583054119944,34.482346384831
119,Лебедин,rescued,1943-08-19,50.583054119944,34.482346384831
120,Лисичанск,occupied,1942-07-10,48.91694,38.43056
121,Лисичанск,rescued,1943-02-06,48.91694,38.43056
122,Лисичанск,occupied,1943-03-03,48.91694,38.43056
123,Лисичанск,rescued,1943-09-02,48.91694,38.43056
124,Лозовая,occupied,1941-10-11,48.8892,36.3161
125,Лозовая,rescued,1942-01-27,48.8892,36.3161
126,Лозовая,occupied,1942-05-23,48.8892,36.3161
127,Лозовая,rescued,1943-02-11,48.8892,36.3161
128,Лозовая,occupied,1943-03-01,48.8892,36.3161
129,Лозовая,rescued,1943-09-16,48.8892,36.3161
130,Люботин,occupied,1941-10-20,49.948888888889,35.930555555556
131,Люботин,rescued,1943-02-22,49.948888888889,35.930555555556
132,Люботин,occupied,1943-03-09,49.948888888889,35.930555555556
133,Люботин,rescued,1943-08-29,49.948888888889,35.930555555556
134,Людиново,occupied,1941-10-04,53.86667,34.46667
135,Людиново,rescued,1942-01-09,53.86667,34.46667
136,Людиново,occupied,1942-01-17,53.86667,34.46667
137,Людиново,rescued,1943-09-09,53.86667,34.46667
138,Мерефа,occupied,1941-10-21,49.819722222222,36.068611111111
139,Мерефа,rescued,1943-02-18,49.819722222222,36.068611111111
140,Мерефа,occupied,1943-03-13,49.819722222222,36.068611111111
141,Мерефа,rescued,1943-09-05,49.819722222222,36.068611111111
142,Монастыриска,occupied,1941-07-04,49.08889,25.16944
143,Монастыриска,rescued,1944-03-26,49.08889,25.16944
144,Монастыриска,occupied,1944-04-06,49.08889,25.16944
145,Монастыриска,rescued,1944-07-21,49.08889,25.16944
146,Надворная,occupied,1941-07-03,48.63333,24.58333
147,Надворная,rescued,1944-03-29,48.63333,24.58333
148,Надворная,occupied,1944-04-18,48.63333,24.58333
149,Надворная,rescued,1944-07-25,48.63333,24.58333
150,Павлоград,occupied,1941-10-11,48.52,35.87
151,Павлоград,rescued,1943-02-17,48.52,35.87
152,Павлоград,occupied,1943-02-22,48.52,35.87
153,Павлоград,rescued,1943-09-18,48.52,35.87
154,Подгайцы,occupied,1941-07-04,49.26667,25.13333
155,Подгайцы,rescued,1944-03-26,49.26667,25.13333
156,Подгайцы,occupied,1944-04-05,49.26667,25.13333
