,city,occupied,rescued,lat,lon
98,Тлумач,1941-07-05,1944-03-29,48.866861,25.001194
99,Тлумач,1944-04-18,1944-07-25,48.866861,25.001194
100,Тростянец,1941-10-16,1943-02-21,50.283,34.5818
101,Тростянец,1943-03-11,1943-08-19,50.283,34.5818
102,Тукумс,1941-06-27,1944-07-30,56.96694,23.15306
103,Тукумс,1944-08-21,1945-05-08,56.96694,23.15306
104,Феодосия,1941-11-03,1941-12-29,45.04889,35.37917
105,Феодосия,1942-01-18,1944-04-13,45.04889,35.37917
106,Харьков,1941-10-25,1943-02-16,50,36.16667
107,Харьков,1943-03-16,1943-08-23,50,36.16667
108,Ходоров,1941-07-02,1944-07-27,49.41,24.30944
109,Ходоров,1941-08-03,1944-02-21,49.41,24.30944
110,Хыров,1941-06-28,1944-07-27,49.53556,22.85444
111,Хыров,1944-07-30,1944-08-08,49.53556,22.85444
112,Харьков,1941-10-25,1943-02-16,50,36.16667
113,Харьков,1943-03-16,1943-08-23,50,36.16667
114,Ходоров,1941-07-02,1944-07-27,49.41,24.30944
115,Ходоров,1941-08-03,1944-02-21,49.41,24.30944
116,Хыров,1941-06-28,1944-07-27,49.53556,22.85444
117,Хыров,1944-07-30,1944-08-08,49.53556,22.85444
118,Чаплино,1941-10-02,1943-09-09,48.0738,36.1415
119,Чаплино,1943-09-15,1943-09-16,48.0738,36.1415
120,Чугуев,1941-10-30,1943-02-10,49.835277777778,36.675555555556
121,Чугуев,1943-03-15,1943-08-11,49.835277777778,36.675555555556
122,Ялта,1941-11-08,1944-04-15,44.49944,34.15528
123,Ялта,1941-07-02,1944-03-03,44.49944,34.15528
124,Ярцево,1941-07-16,1941-07-19,55.06667,32.68333
125,Ярцево,1941-10-05,1943-09-16,55.06667,32.68333
126,Дружба,1941-06-22,1945-01-26,52.0252,33.5623
127,Калиновка,1941-06-22,1945-01-20,49.265,28.3123
128,Берегово,1941-06-22,1944-10-26,48.2025,22.6375
129,Знаменск,1941-06-22,1945-01-23,54.37,21.13
130,Гусев,1941-06-22,1945-01-20,54.35,22.12
131,Хуст,1941-06-22,1944-10-24,48.18139,23.29778
132,Озерск,1941-06-22,1945-01-23,54.25,22.01
133,Черняховск,1941-06-22,1945-01-22,54.63333,21.81667
134,Северо-Курильск,1941-06-22,1945-08-24,50.4,156.07
135,Ясное,1941-06-22,1945-01-20,55.11,21.33
136,Калининград,1941-06-22,1945-04-09,54.71667,20.5
137,Полесск,1941-06-22,1945-01-23,54.86667,21.1
138,Ладушкин,1941-06-22,1945-03-18,54.56667,20.16667
139,Холмск,1941-06-22,1945-08-20,47.04028,142.04306
140,Клайпеда,1941-06-22,1945-01-28,55.7075,21.14278
141,Мукачево,1941-06-22,1944-10-26,48.44139,22.71361
142,Гурьевск,1941-06-22,1945-01-28,54.46,20.36
143,Крылово,1941-06-22,1945-01-26,54.205,21.332
144,Долинск,1941-06-22,1945-08-25,47.31667,142.8
145,Корсаков,1941-06-22,1945-08-25,46.38,142.46
146,Печенга,1941-06-22,1944-10-15,69.55389,31.22667
147,Балтийск,1941-06-22,1945-04-25,54.65,19.91667
